optimizer_step,id_validation_loss,id_task_accuracy,ood_task_accuracy,id_parse_rate,ood_parse_rate,id_valid_formula_rate,ood_valid_formula_rate,id_task_n,ood_task_n,evaluation_mode
0,0.8768103472115499,0.0,0.0,0.0,0.014,0.0,0.014,500,500,FULL
10,0.43961407723232715,0.01,0.028,1.0,1.0,0.844,0.86,500,500,FULL
20,0.2191177128446463,0.03,0.02,1.0,1.0,0.904,0.864,500,500,FULL
30,0.1858636789324476,0.032,0.016,1.0,1.0,0.848,0.85,500,500,FULL
40,0.1694620034209203,0.02,0.01,1.0,1.0,0.884,0.874,500,500,FULL
50,0.16170864848940705,0.028,0.026,1.0,1.0,0.946,0.904,500,500,FULL
60,0.15733421397655772,0.046,0.04,1.0,1.0,0.97,0.938,500,500,FULL
70,0.15454938430392776,0.048,0.032,1.0,1.0,0.98,0.948,500,500,FULL
80,0.15323033684043358,0.056,0.044,1.0,1.0,0.986,0.952,500,500,FULL
90,0.15163787770479573,0.054,0.046,1.0,1.0,0.984,0.95,500,500,FULL
100,0.15039790829895897,0.05,0.064,1.0,1.0,0.992,0.968,500,500,FULL
110,0.14969381899854722,0.082,0.064,1.0,1.0,0.99,0.964,500,500,FULL
120,0.14864380330931642,0.068,0.066,1.0,1.0,0.99,0.968,500,500,FULL
130,0.14807763027204388,0.082,0.068,1.0,1.0,0.992,0.964,500,500,FULL
140,0.14747425300855543,0.08,0.07,1.0,1.0,0.992,0.968,500,500,FULL
150,0.14712982742486236,0.08,0.054,1.0,1.0,0.99,0.968,500,500,FULL
160,0.14708786993649833,0.084,0.064,1.0,1.0,0.994,0.966,500,500,FULL
170,0.14696512403347736,0.084,0.048,1.0,1.0,0.99,0.97,500,500,FULL
180,0.14704348073322165,0.08,0.052,1.0,1.0,0.994,0.966,500,500,FULL
190,0.14705278615732958,0.078,0.056,1.0,1.0,0.994,0.966,500,500,FULL
192,0.1470256697134214,0.088,0.054,1.0,1.0,0.994,0.966,500,500,FULL
