optimizer_step,id_validation_loss,id_task_accuracy,ood_task_accuracy,id_parse_rate,ood_parse_rate,id_valid_formula_rate,ood_valid_formula_rate,id_task_n,ood_task_n,evaluation_mode
0,0.8768103472115499,0.0,0.0,0.0,0.014,0.0,0.014,500,500,FULL
20,0.6771459509664207,0.012,0.006,0.85,0.35,0.65,0.264,500,500,FULL
40,0.3649881405546531,0.014,0.014,1.0,1.0,0.918,0.912,500,500,FULL
60,0.25456156687816384,0.028,0.018,1.0,1.0,0.958,0.938,500,500,FULL
80,0.21385082180909706,0.032,0.008,1.0,1.0,0.934,0.89,500,500,FULL
100,0.19807679252135393,0.032,0.004,0.998,1.0,0.94,0.894,500,500,FULL
120,0.1906283683988993,0.028,0.006,0.998,1.0,0.942,0.896,500,500,FULL
140,0.18664012086075818,0.028,0.01,1.0,1.0,0.948,0.9,500,500,FULL
160,0.18481203776647362,0.026,0.01,0.998,1.0,0.95,0.912,500,500,FULL
180,0.18462544385698068,0.028,0.008,0.998,1.0,0.952,0.906,500,500,FULL
192,0.18442248203160955,0.024,0.01,1.0,1.0,0.942,0.896,500,500,FULL
